Threshold,Total Sites,Total Acutal Legit,Total Actual Phishing,Total Classified Phishing,Total Classified Legitimate,True Positive Rate,False Positive Rate,False Negative Rate,True Negative Rate,Accuracy,Phishing: Contains No hyperlinks,Phishing: Contains Null Links,Phishing: Points to Foreign domains,Legitimate: Contains No hyperlinks,Legitimate: Contains Null Links,Legitimate: Points to Foreign domains,% Phishing,% Legitimate,Pages that failed to run,Pages that ran,Invalid hostname count
10,9875,500,9375,1134,699,96.91358024691358,3.0864197530864197,86.40915593705293,13.590844062947067,65.13911620294598,401,510,1096,144,388,603,96.64902998236332,86.26609442060087,2110,1833,0
20,9875,500,9375,1132,628,93.99293286219081,6.007067137809187,74.36305732484077,25.636942675159236,69.60227272727273,392,506,1061,145,390,466,93.7279151943463,74.20382165605095,2218,1760,0
30,9875,500,9375,1132,584,93.28621908127208,6.713780918727916,68.66438356164383,31.335616438356162,72.2027972027972,377,517,1053,146,385,399,93.02120141342756,68.32191780821918,2248,1716,0
36,9875,500,9375,1128,573,93.26241134751773,6.73758865248227,67.19022687609075,32.809773123909245,72.89829512051735,388,504,1050,146,388,384,93.08510638297872,67.01570680628272,2190,1701,0
40,9875,500,9375,1131,572,93.1918656056587,6.80813439434129,66.43356643356644,33.56643356643357,73.1650029359953,390,501,1050,144,392,378,92.83819628647215,66.08391608391608,2237,1703,0
50,9875,500,9375,1132,510,92.75618374558304,7.243816254416961,59.411764705882355,40.588235294117645,76.55298416565165,379,511,1047,147,389,302,92.49116607773851,59.21568627450981,2300,1642,0
60,9875,500,9375,1130,486,92.47787610619469,7.52212389380531,53.29218106995884,46.70781893004115,78.71287128712872,392,499,1044,146,386,258,92.38938053097345,53.086419753086425,2272,1616,0
70,9875,500,9375,1128,480,91.40070921985816,8.599290780141844,51.24999999999999,48.75,78.66915422885572,378,511,1022,145,386,244,90.60283687943263,50.83333333333333,2360,1608,0
80,9875,500,9375,1133,473,91.61518093556928,8.384819064430715,49.89429175475687,50.10570824524313,79.38978829389788,375,514,1023,147,384,234,90.29126213592234,49.471458773784356,2350,1606,0
90,9875,500,9375,1131,468,90.71618037135278,9.283819628647215,48.504273504273506,51.49572649572649,79.23702313946215,385,513,1013,147,385,225,89.56675508399647,48.07692307692308,2354,1599,0
